New_Column,Original_Column,N,Mean,SD,Median,Min,Max
Q4,我在 誠致 的總工作年資,18,2,0.8224783208299743,2,0.5,3
Q5,我在加入 誠致「前」的工作年資,18,3.388888888888889,3.6884380384383157,2.75,0,14
Q6,我當初選擇加入誠致的原因 [期待自己能實際參與改變教育],18,3.5555555555555554,0.6156987634551992,4,2,4
Q7,我當初選擇加入誠致的原因 [能跟過去經驗有所連結],18,3.5555555555555554,0.6156987634551991,4,2,4
Q8,我當初選擇加入誠致的原因 [彈性自主的工作環境（彈性工時、工作地點）],18,3.0555555555555554,1.1099667309387473,3.5,1,4
Q9,我當初選擇加入誠致的原因 [能嘗試跨域專案，累積多元歷練],18,3.1666666666666665,0.7071067811865476,3,2,4
Q10,我當初選擇加入誠致的原因 [認同組織核心價值與文化],18,3.6666666666666665,0.48507125007266594,4,3,4
Q11,我當初選擇加入誠致的原因 [尋求理念一致的夥伴],18,3.1666666666666665,0.9851843661437781,3,1,4
Q12,我當初選擇加入誠致的原因 [薪資福利],18,2.4444444444444446,0.8555852638929974,3,1,4
Q15,我認同 KIST 的願景：給孩子公平發展天賦的舞台,18,4,0,4,4,4
Q16,我理解且認同以下的 KIST 核心價值 [當責態度（當責始終在我／遇到問題，不究責諉過，致力於找出更好的方法／持續對學生、家人與同事做出重要承諾）],18,3.7777777777777777,0.42779263194649864,4,3,4
Q17,我理解且認同以下的 KIST 核心價值 [成長心態（所有人都可以並願意學習／持續致力於成為更好的人／挫敗是寶藏，淘洗出金塊來）],18,3.9444444444444446,0.23570226039551584,4,3,4
Q18,我理解且認同以下的 KIST 核心價值 [團隊協作（發揮打群架的精神／KIST 是團隊、也是家人／透過協作創新、用全村力量辦學）],18,3.8333333333333335,0.3834824944236852,4,3,4
Q19,我理解且認同以下的 KIST 核心價值 [誠信正直（用愛心說真話／秉持當事人原則／以學生最佳利益為中心的決策／以身作則，說的等於做的）],18,3.888888888888889,0.32338083338177726,4,3,4
Q20,我理解且認同以下的 KIST 核心價值 [多元包容（差異是力量的來源／積極傾聽、善意溝通／公平、多元、包容、創造幸福）],18,3.7777777777777777,0.4277926319464986,4,3,4
Q21,我理解且認同以下的 KIST 核心價值 [健康幸福（健康第一、家庭第二、樂在工作／時時保持情緒與心理的更新／從工作中產生意義與樂趣）],18,3.7777777777777777,0.42779263194649864,4,3,4
Q22,我有具體實踐以下的 KIST 核心價值 [當責態度（當責始終在我／遇到問題，不究責諉過，致力於找出更好的方法／持續對學生、家人與同事做出重要承諾）],18,3.4444444444444446,0.6156987634551992,3.5,2,4
Q23,我有具體實踐以下的 KIST 核心價值 [成長心態（所有人都可以並願意學習／持續致力於成為更好的人／挫敗是寶藏，淘洗出金塊來）],18,3.2777777777777777,0.751903901522118,3,1,4
Q24,我有具體實踐以下的 KIST 核心價值 [團隊協作（發揮打群架的精神／KIST 是團隊、也是家人／透過協作創新、用全村力量辦學）],18,3.388888888888889,0.5016313257045503,3,3,4
Q25,我有具體實踐以下的 KIST 核心價值 [誠信正直（用愛心說真話／秉持當事人原則／以學生最佳利益為中心的決策／以身作則，說的等於做的）],18,3.5,0.6183469424008423,4,2,4
Q26,我有具體實踐以下的 KIST 核心價值 [多元包容（差異是力量的來源／積極傾聽、善意溝通／公平、多元、包容、創造幸福）],18,3.5,0.7071067811865476,4,2,4
Q27,我有具體實踐以下的 KIST 核心價值 [健康幸福（健康第一、家庭第二、樂在工作／時時保持情緒與心理的更新／從工作中產生意義與樂趣）],18,3.2222222222222223,0.5483188805533162,3,2,4
Q28,我理解以下 KIST 教學特色 [嚴謹教學循環（SEAMS）],18,3.1666666666666665,0.9235481451827989,3,1,4
Q29,我理解以下 KIST 教學特色 [卓越教學架構],18,2.888888888888889,0.9633818428657448,3,1,4
Q30,我理解以下 KIST 教學特色 [社交與情緒學習 SEL],18,3.5555555555555554,0.5113099925649135,4,3,4
Q31,我理解以下 KIST 教學特色 [品格鍛鍊],18,3.388888888888889,1.0369008625190792,4,0,4
Q32,我理解以下 KIST 教學特色 [個人化學習],18,3.0555555555555554,0.9375953110592342,3,0,4
Q33,我理解以下 KIST 教學特色 [文化相關教育學 CRP],18,2.5555555555555554,1.0966377611066325,3,0,4
Q34,我理解以下 KIST 教學特色 [專題與探究學習 PBL],18,3.388888888888889,0.5016313257045503,3,3,4
Q35,我理解以下 KIST 教學特色 [永續發展目標 SDGs],18,3.111111111111111,0.8323523637957303,3,1,4
Q36,在我的工作場域，我們的語言與行動都有清楚回應 聯盟 的願景與發展目標,18,3.3333333333333335,0.6859943405700354,3,2,4
Q37,在我的工作場域，我們會為聯盟的願景與目標全力以赴,18,3.5555555555555554,0.5113099925649135,4,3,4
Q38,KIST 聯盟中有我視為導師的人,18,3.5555555555555554,0.6156987634551992,4,2,4
Q39,我對身為 KIST 聯盟的一員感到驕傲,18,3.5555555555555554,0.6156987634551991,4,2,4
Q40,我會向合適的人才推薦 KIST 聯盟,18,3.7222222222222223,0.5745131499601417,4,2,4
Q41,整體而言，我對於與 KIST 聯盟協作感到滿意,18,3.2777777777777777,0.9582800496696,4,1,4
Q46,我認同 組織 的使命願景：關懷弱勢，科學救國,15,3.6,0.5070925528371101,4,3,4
Q47,在我的工作場域，我們的語言與行動都有清楚回應 組織 的願景與發展目標,18,3.1666666666666665,0.7859052479933758,3,2,4
Q48,我瞭解組織的相關動態（例如：重要活動日期、重大消息...等）,18,3.5555555555555554,0.6156987634551992,4,2,4
Q49,我清楚我的工作目標，以及組織對我工作成果的期望,18,3.388888888888889,0.7775443160352296,4,2,4
Q50,我理解我的工作與組織目標的關聯性,18,3.6666666666666665,0.5940885257860046,4,2,4
Q51,我擁有做好我工作所需要的資源（包含：資料、資訊、設備...),18,3.1666666666666665,0.6183469424008423,3,2,4
Q52,在工作中，我有足夠的學習機會或資源，提升我工作所需的知識與技能,18,3.2222222222222223,0.7320844981409597,3,2,4
Q53,組織目前的協作方式或政策，能有效促進溝通效率和合作品質,18,3.2222222222222223,0.6467616667635546,3,2,4
Q54,當我在組織與不同夥伴或組別合作時，過程是順暢的,18,3.5555555555555554,0.5113099925649135,4,3,4
Q55,在工作中，我覺得我的意見受到重視,18,3.8333333333333335,0.5144957554275266,4,2,4
Q56,工作遇到問題時，我知道如何從內部尋求諮詢與取得資源協助,18,3.6666666666666665,0.5940885257860047,4,2,4
Q57,我能在工作中建立有意義的人際關係,18,3.9444444444444446,0.23570226039551587,4,3,4
Q58,針對我的工作表現，我可以收到實用且及時的回饋,18,3.611111111111111,0.6978023391872251,4,2,4
Q59,我的工作表現出色時，會收到正面肯定與回饋,18,3.888888888888889,0.32338083338177737,4,3,4
Q60,組織中有關心我身心狀態與幸福感的人,18,3.9444444444444446,0.23570226039551587,4,3,4
Q61,對於與我個人或我工作攸關的決策中，我有機會理解決策的原委,18,3.7222222222222223,0.4608885989624768,4,3,4
Q62,我對組織的領導團隊有信心,18,3.5555555555555554,0.7047921864945658,4,2,4
Q63,我可以安心地和領導團隊溝通我的建議和想法（用愛心說真話）,18,3.5555555555555554,0.7047921864945658,4,2,4
Q64,組織夥伴會為組織的願景與目標全力以赴,18,3.6666666666666665,0.48507125007266594,4,3,4
Q65,當環境或工作進展出現超出預期的變化時，我們能夠快速做出有效的回應，包含決策和行動的調整,18,3.5555555555555554,0.6156987634551991,4,2,4
Q66,我們在決策與執行的過程中，能充分納入內外部利害關係人的觀點,18,3.2777777777777777,0.5745131499601417,3,2,4
Q67,就算不一定會成功，我們仍被鼓勵持續突破與創新,18,3.888888888888889,0.3233808333817773,4,3,4
Q68,在嘗試後如果結果不如預期，我們很可能會受到責難或處罰,18,1.3333333333333333,0.485071250072666,1,1,2
Q69,我們總是可以從失敗的經驗中學習,18,3.4444444444444446,0.6156987634551991,3.5,2,4
Q74,誠致 所提供的 [培育與激勵] 資源，對我職場體驗的幫助程度是： [個人發展藍圖（職涯發展藍圖）],10,2.7,0.48304589153964794,3,2,3
Q75,誠致 所提供的 [培育與激勵] 資源，對我職場體驗的幫助程度是： [IDP & O3],15,3.3333333333333335,0.6172133998483678,3,2,4
Q76,誠致 所提供的 [培育與激勵] 資源，對我職場體驗的幫助程度是： [增能課程],18,3.4444444444444446,0.5113099925649135,3,3,4
Q77,誠致 所提供的 [培育與激勵] 資源，對我職場體驗的幫助程度是： [小後台圍圈],11,3.5454545454545454,0.5222329678670935,4,3,4
Q78,誠致 所提供的 [培育與激勵] 資源，對我職場體驗的幫助程度是： [相揪 KI 運動],15,3.533333333333333,0.6399404734221845,4,2,4
Q79,誠致 所提供的 [培育與激勵] 資源，對我職場體驗的幫助程度是： [動滋券],13,3.8461538461538463,0.37553380809940545,4,3,4
Q80,誠致 所提供的 [培育與激勵] 資源，對我職場體驗的幫助程度是： [專業成長券],11,3.727272727272727,0.46709936649691375,4,3,4
Q81,誠致 所提供的 [培育與激勵] 資源，對我職場體驗的幫助程度是： [健康檢查],6,3.6666666666666665,0.5163977794943222,4,3,4
Q82,誠致 所提供的 [培育與激勵] 資源，對我職場體驗的幫助程度是： [諮商補助],6,3.8333333333333335,0.40824829046386296,4,3,4
Q84,我覺得我的工作是有意義的,18,3.8333333333333335,0.38348249442368515,4,3,4
Q85,我覺得我在工作中持續成長,18,3.6666666666666665,0.6859943405700354,4,2,4
Q86,我覺得在目前工作上，成長最多的能力是？ [問題解決],18,3.388888888888889,0.6978023391872251,3.5,2,4
Q87,我覺得在目前工作上，成長最多的能力是？ [分析與策略思維],18,3.5555555555555554,0.6156987634551992,4,2,4
Q88,我覺得在目前工作上，成長最多的能力是？ [專案與資源管理],18,3.6666666666666665,0.5940885257860047,4,2,4
Q89,我覺得在目前工作上，成長最多的能力是？ [自我覺察與自我成長],18,3.388888888888889,0.6076849889141857,3,2,4
Q90,我覺得在目前工作上，成長最多的能力是？ [發展與輔導他人],18,3.1666666666666665,0.6183469424008423,3,2,4
Q91,我覺得在目前工作上，成長最多的能力是？ [溝通／引導],18,3.5555555555555554,0.6156987634551992,4,2,4
Q92,我覺得在目前工作上，成長最多的能力是？ [會議管理],18,3.1666666666666665,0.7071067811865476,3,2,4
Q93,我覺得在目前工作上，成長最多的能力是？ [數據分析],18,2.2777777777777777,0.7519039015221182,2,1,4
Q94,我覺得在目前工作上，成長最多的能力是？ [體驗設計],18,3,0.7669649888473704,3,2,4
Q96,組織內有我視為導師的人,18,3.6666666666666665,0.48507125007266594,4,3,4
Q97,目前的職涯發展機會對我有吸引力,18,2.888888888888889,0.8323523637957303,3,1,4
Q98,目前的薪資福利，能鼓勵我發揮最佳表現,18,2.9444444444444446,0.802365782965103,3,1,4
Q99,我希望自己未來能成為 誠致 領導人（例如：組長、經理、總監）,18,2.888888888888889,0.8323523637957303,3,1,4
Q100,我預計會在 誠致 持續任職,18,1.3055555555555556,0.6889653130705341,1.5,0,2
Q101,如果有機會，我會考慮到 KIST 學校 服務,18,2.3333333333333335,1.028991510855053,2.5,1,4
Q103,我對身為 誠致 的一員感到驕傲,18,3.7222222222222223,0.5745131499601417,4,2,4
Q104,整體而言，我對於在 誠致 工作的滿意度是：,18,8.38888888888889,0.978527638786601,9,6,10
Q106,我會向合適的人才推薦 誠致,18,3.7777777777777777,0.4277926319464986,4,3,4
